date,priceArea,prod_quantityKwh_sum,prod_quantityKwh_mean,cons_quantityKwh_sum,cons_quantityKwh_mean,cons_countMeteringPoints_sum,net_quantityKwh_sum
2025-11-07,NO4,93356986.235,777974.8852916666,56461607.198,470513.39331666665,0.0,36895379.037
2025-11-07,NO5,96555361.057,670523.340673611,43683588.483,364029.904025,0.0,52871772.57399999
2025-11-08,NO1,63262008.501,527183.404175,83167892.845,693065.7737083334,0.0,-19905884.343999997
2025-11-08,NO2,167892029.52,1399100.246,91874585.793,765621.548275,0.0,76017443.72700001
2025-11-08,NO3,79476054.588,662300.4549,78297080.558,652475.6713166666,0.0,1178974.0300000012
2025-11-08,NO4,94437384.138,786978.20115,52068615.209,433905.12674166664,0.0,42368768.929
2025-11-08,NO5,92651988.958,643416.5899861112,43272739.055,360606.1587916667,0.0,49379249.903000005
2025-11-09,NO1,66775709.847,556464.2487250001,87222479.373,726853.9947749999,0.0,-20446769.525999993
2025-11-09,NO2,173686158.974,1447384.6581166668,91871297.182,765594.1431833333,0.0,81814861.79200001
2025-11-09,NO3,73346496.604,611220.8050333334,78730592.64,656088.272,0.0,-5384096.035999998
2025-11-09,NO4,98877609.834,823980.08195,-38035186.312,-316959.8859333333,0.0,136912796.146
2025-11-09,NO5,96253800.207,668429.1681041666,42993154.164,358276.28469999996,0.0,53260646.043000005
2025-11-10,NO1,66888207.585,557401.729875,98162981.06,818024.8421666666,0.0,-31274773.475
2025-11-10,NO2,190102685.036,1584189.0419666667,97210711.015,810089.2584583333,0.0,92891974.02100001
2025-11-10,NO3,74993140.394,624942.8366166666,83173225.408,693110.2117333334,0.0,-8180085.0140000135
2025-11-10,NO4,104197733.809,868314.4484083334,61589048.723,513242.07269166666,0.0,42608685.086
2025-11-10,NO5,118960726.917,826116.1591458333,44739842.006,372832.01671666664,0.0,74220884.911
2025-11-11,NO1,68537872.402,571148.9366833332,96201040.081,801675.3340083334,0.0,-27663167.679000005
2025-11-11,NO2,166572937.311,1388107.8109249999,97434527.112,811954.3926,0.0,69138410.19899999
2025-11-11,NO3,74117701.89,617647.51575,83853217.174,698776.8097833333,0.0,-9735515.283999994
2025-11-11,NO4,98632512.046,821937.6003833334,62643169.434,522026.41195,0.0,35989342.612
2025-11-11,NO5,109934511.08,763434.1047222222,45368240.489,378068.6707416667,0.0,64566270.591
2025-11-12,NO1,67797639.21,564980.3267499999,92169051.442,768075.4286833333,0.0,-24371412.23200001
2025-11-12,NO2,118438608.17300001,986988.4014416668,99886066.494,832383.88745,0.0,18552541.679000005
2025-11-12,NO3,70440196.76,587001.6396666667,83214513.874,693454.2822833334,0.0,-12774317.113999993
2025-11-12,NO4,85172669.802,709772.24835,62362741.521,519689.512675,0.0,22809928.281000003
