date,priceArea,productionGroup,quantityKwh_sum,quantityKwh_mean
2025-10-29,NO1,THERMAL,242246.418,10093.60075
2025-10-29,NO1,WIND,383400.943,15975.039291666668
2025-10-29,NO2,HYDRO,152919770.3,6371657.095833334
2025-10-29,NO2,OTHER,1818.776,75.78233333333334
2025-10-29,NO2,SOLAR,40827.878000000004,1701.1615833333335
2025-10-29,NO2,THERMAL,354507.076,14771.128166666667
2025-10-29,NO2,WIND,4384435.734,182684.82225
2025-10-29,NO3,HYDRO,77503291.5,3229303.8125
2025-10-29,NO3,OTHER,1632.5,68.02083333333333
2025-10-29,NO3,SOLAR,12573.239,523.8849583333333
2025-10-29,NO3,THERMAL,496281.66,20678.4025
2025-10-29,NO3,WIND,7617157.154,317381.54808333336
2025-10-29,NO4,HYDRO,80194852.5,3341452.1875
2025-10-29,NO4,OTHER,5463.92,227.66333333333333
2025-10-29,NO4,SOLAR,64.887,2.703625
2025-10-29,NO4,THERMAL,5181415.0,215892.29166666666
2025-10-29,NO4,WIND,13128980.38,547040.8491666667
2025-10-29,NO5,*,2.589,0.107875
2025-10-29,NO5,HYDRO,87750196.2,3656258.1750000003
2025-10-29,NO5,OTHER,194.632,8.109666666666667
2025-10-29,NO5,SOLAR,15703.938999999998,654.3307916666666
2025-10-29,NO5,THERMAL,399726.207,16655.258625
2025-10-29,NO5,WIND,1.103,0.04595833333333333
2025-10-30,NO1,HYDRO,63933564.5,2663898.5208333335
2025-10-30,NO1,OTHER,1614.05,67.25208333333333
2025-10-30,NO1,SOLAR,31111.508,1296.3128333333334
2025-10-30,NO1,THERMAL,128245.525,5343.563541666666
2025-10-30,NO1,WIND,4261376.3,177557.34583333333
2025-10-30,NO2,HYDRO,134262513.4,5594271.391666667
2025-10-30,NO2,OTHER,2330.285,97.09520833333333
2025-10-30,NO2,SOLAR,72814.54699999999,3033.939458333333
2025-10-30,NO2,THERMAL,358607.713,14941.988041666666
