date,priceArea,consumptionGroup,quantityKwh_sum,quantityKwh_mean,countMeteringPoints_sum
2025-10-30,NO5,SECONDARY,26299063.7,1095794.3208333333,0.0
2025-10-30,NO5,TERTIARY,7779040.99,324126.7079166667,0.0
2025-10-31,NO1,CABIN,2777236.645,115718.19354166667,0.0
2025-10-31,NO1,HOUSEHOLD,51804408.9,2158517.0375,0.0
2025-10-31,NO1,PRIMARY,1233352.159,51389.673291666666,0.0
2025-10-31,NO1,SECONDARY,19727513.38,821979.7241666666,0.0
2025-10-31,NO1,TERTIARY,33160157.6,1381673.2333333334,0.0
2025-10-31,NO2,CABIN,1972271.481,82177.97837499999,0.0
2025-10-31,NO2,HOUSEHOLD,28653500.4,1193895.8499999999,0.0
2025-10-31,NO2,PRIMARY,2029629.226,84567.88441666667,0.0
2025-10-31,NO2,SECONDARY,50852951.8,2118872.9916666667,0.0
2025-10-31,NO2,TERTIARY,16620520.03,692521.6679166666,0.0
2025-10-31,NO3,CABIN,1430730.39,59613.76624999999,0.0
2025-10-31,NO3,HOUSEHOLD,20248348.1,843681.1708333334,0.0
2025-10-31,NO3,PRIMARY,2341005.157,97541.88154166668,0.0
2025-10-31,NO3,SECONDARY,45515011.1,1896458.7958333334,0.0
2025-10-31,NO3,TERTIARY,17080329.55,711680.3979166667,0.0
2025-10-31,NO4,CABIN,1187243.466,49468.47775,0.0
2025-10-31,NO4,HOUSEHOLD,13858860.290000001,577452.5120833333,0.0
2025-10-31,NO4,PRIMARY,1495526.219,62313.59245833333,0.0
2025-10-31,NO4,SECONDARY,29247447.6,1218643.6500000001,0.0
2025-10-31,NO4,TERTIARY,11792146.870000001,491339.4529166667,0.0
2025-10-31,NO5,CABIN,1284222.1300000001,53509.255416666674,0.0
2025-10-31,NO5,HOUSEHOLD,11467151.82,477797.9925,0.0
2025-10-31,NO5,PRIMARY,353963.369,14748.473708333333,0.0
2025-10-31,NO5,SECONDARY,26632126.9,1109671.9541666666,0.0
2025-10-31,NO5,TERTIARY,7815457.67,325644.06958333333,0.0
2025-11-01,NO1,CABIN,2690778.509,112115.77120833333,0.0
2025-11-01,NO1,HOUSEHOLD,49502614.7,2062608.9458333335,0.0
2025-11-01,NO1,PRIMARY,1201738.808,50072.450333333334,0.0
2025-11-01,NO1,SECONDARY,16059769.71,669157.07125,0.0
2025-11-01,NO1,TERTIARY,26643478.44,1110144.935,0.0
2025-11-01,NO2,CABIN,1791667.375,74652.80729166667,0.0
2025-11-01,NO2,HOUSEHOLD,26808229.6,1117009.5666666667,0.0
2025-11-01,NO2,PRIMARY,2020010.936,84167.12233333333,0.0
2025-11-01,NO2,SECONDARY,55143595.6,2297649.816666667,0.0
2025-11-01,NO2,TERTIARY,13346003.23,556083.4679166666,0.0
2025-11-01,NO3,CABIN,1312457.345,54685.722708333335,0.0
2025-11-01,NO3,HOUSEHOLD,18250086.74,760420.2808333333,0.0
2025-11-01,NO3,PRIMARY,2274572.086,94773.83691666667,0.0
2025-11-01,NO3,SECONDARY,43759591.3,1823316.3041666665,0.0
2025-11-01,NO3,TERTIARY,14383190.71,599299.6129166667,0.0
2025-11-01,NO4,CABIN,1299255.784,54135.657666666666,0.0
2025-11-01,NO4,HOUSEHOLD,14617519.0,609063.2916666666,0.0
2025-11-01,NO4,PRIMARY,1474086.529,61420.27204166667,0.0
2025-11-01,NO4,SECONDARY,28253218.1,1177217.4208333334,0.0
2025-11-01,NO4,TERTIARY,11075840.21,461493.34208333335,0.0
2025-11-01,NO5,CABIN,1195246.555,49801.939791666664,0.0
2025-11-01,NO5,HOUSEHOLD,10533004.27,438875.17791666667,0.0
2025-11-01,NO5,PRIMARY,338775.43,14115.642916666666,0.0
2025-11-01,NO5,SECONDARY,27560630.2,1148359.5916666666,0.0
2025-11-01,NO5,TERTIARY,6202563.77,258440.15708333332,0.0
2025-11-02,NO1,CABIN,2032944.153,84706.006375,0.0
2025-11-02,NO1,HOUSEHOLD,45806495.1,1908603.9625000001,0.0
2025-11-02,NO1,PRIMARY,1111625.883,46317.745124999994,0.0
2025-11-02,NO1,SECONDARY,14655177.33,610632.38875,0.0
2025-11-02,NO1,TERTIARY,24123490.74,1005145.4474999999,0.0
2025-11-02,NO2,CABIN,1485026.948,61876.122833333335,0.0
2025-11-02,NO2,HOUSEHOLD,26201347.45,1091722.8104166666,0.0
2025-11-02,NO2,PRIMARY,1960270.666,81677.94441666667,0.0
2025-11-02,NO2,SECONDARY,50121913.7,2088413.0708333335,0.0
2025-11-02,NO2,TERTIARY,12393855.94,516410.6641666666,0.0
2025-11-02,NO3,CABIN,1053895.75,43912.322916666664,0.0
2025-11-02,NO3,HOUSEHOLD,17370456.759999998,723769.0316666666,0.0
2025-11-02,NO3,PRIMARY,2239158.423,93298.267625,0.0
2025-11-02,NO3,SECONDARY,43641855.2,1818410.6333333335,0.0
2025-11-02,NO3,TERTIARY,13586141.04,566089.21,0.0
2025-11-02,NO4,CABIN,1123834.196,46826.42483333333,0.0
2025-11-02,NO4,HOUSEHOLD,13995659.23,583152.4679166666,0.0
2025-11-02,NO4,PRIMARY,1441134.216,60047.259,0.0
2025-11-02,NO4,SECONDARY,27973327.2,1165555.3,0.0
2025-11-02,NO4,TERTIARY,10313247.88,429718.6616666667,0.0
2025-11-02,NO5,CABIN,984621.41,41025.89208333333,0.0
2025-11-02,NO5,HOUSEHOLD,10640910.69,443371.27875,0.0
2025-11-02,NO5,PRIMARY,324195.283,13508.136791666666,0.0
2025-11-02,NO5,SECONDARY,26380213.7,1099175.5708333333,0.0
2025-11-02,NO5,TERTIARY,5975506.38,248979.4325,0.0
2025-11-03,NO1,CABIN,1828692.588,76195.5245,0.0
2025-11-03,NO1,HOUSEHOLD,44218089.9,1842420.4124999999,0.0
2025-11-03,NO1,PRIMARY,1111441.839,46310.076624999994,0.0
2025-11-03,NO1,SECONDARY,18020957.77,750873.2404166666,0.0
2025-11-03,NO1,TERTIARY,30444749.02,1268531.2091666667,0.0
2025-11-03,NO2,CABIN,1339406.657,55808.610708333326,0.0
2025-11-03,NO2,HOUSEHOLD,25462745.13,1060947.7137499999,0.0
2025-11-03,NO2,PRIMARY,2003148.645,83464.526875,0.0
2025-11-03,NO2,SECONDARY,51750731.0,2156280.4583333335,0.0
2025-11-03,NO2,TERTIARY,15684288.87,653512.03625,0.0
2025-11-03,NO3,CABIN,961806.904,40075.28766666666,0.0
2025-11-03,NO3,HOUSEHOLD,17137005.85,714041.9104166668,0.0
2025-11-03,NO3,PRIMARY,2267059.465,94460.81104166666,0.0
2025-11-03,NO3,SECONDARY,45828198.0,1909508.25,0.0
2025-11-03,NO3,TERTIARY,15695002.33,653958.4304166667,0.0
2025-11-03,NO4,CABIN,1003600.425,41816.684375000004,0.0
2025-11-03,NO4,HOUSEHOLD,13317148.03,554881.1679166666,0.0
2025-11-03,NO4,PRIMARY,1504824.488,62701.02033333333,0.0
2025-11-03,NO4,SECONDARY,29868442.5,1244518.4375,0.0
2025-11-03,NO4,TERTIARY,11492590.79,478857.9495833333,0.0
2025-11-03,NO5,CABIN,880331.552,36680.48133333334,0.0
2025-11-03,NO5,HOUSEHOLD,10328869.36,430369.55666666664,0.0
2025-11-03,NO5,PRIMARY,333740.663,13905.860958333333,0.0
2025-11-03,NO5,SECONDARY,27116591.8,1129857.9916666667,0.0
2025-11-03,NO5,TERTIARY,7284108.25,303504.5104166667,0.0
2025-11-04,NO1,CABIN,1578586.423,65774.43429166666,0.0
2025-11-04,NO1,HOUSEHOLD,40334865.3,1680619.3875,0.0
2025-11-04,NO1,PRIMARY,1070298.442,44595.768416666666,0.0
2025-11-04,NO1,SECONDARY,17632922.25,734705.09375,0.0
2025-11-04,NO1,TERTIARY,28855087.5,1202295.3125,0.0
2025-11-04,NO2,CABIN,1163797.512,48491.563,0.0
2025-11-04,NO2,HOUSEHOLD,23414861.8,975619.2416666667,0.0
2025-11-04,NO2,PRIMARY,1990039.203,82918.300125,0.0
2025-11-04,NO2,SECONDARY,54805794.8,2283574.783333333,0.0
2025-11-04,NO2,TERTIARY,14850210.89,618758.7870833334,0.0
2025-11-04,NO3,CABIN,875442.3640000001,36476.76516666667,0.0
2025-11-04,NO3,HOUSEHOLD,16207932.0,675330.5,0.0
2025-11-04,NO3,PRIMARY,2248433.155,93684.71479166666,0.0
2025-11-04,NO3,SECONDARY,45691693.7,1903820.5708333335,0.0
2025-11-04,NO3,TERTIARY,15303982.91,637665.9545833333,0.0
2025-11-04,NO4,CABIN,1026922.603,42788.441791666664,0.0
2025-11-04,NO4,HOUSEHOLD,13437794.32,559908.0966666667,0.0
2025-11-04,NO4,PRIMARY,1515049.774,63127.07391666667,0.0
2025-11-04,NO4,SECONDARY,28630929.6,1192955.4000000001,0.0
2025-11-04,NO4,TERTIARY,11522917.18,480121.54916666663,0.0
2025-11-04,NO5,CABIN,787604.749,32816.86454166666,0.0
2025-11-04,NO5,HOUSEHOLD,9617039.23,400709.9679166667,0.0
2025-11-04,NO5,PRIMARY,333490.725,13895.446875,0.0
2025-11-04,NO5,SECONDARY,27743732.1,1155988.8375000001,0.0
2025-11-04,NO5,TERTIARY,6938240.1,289093.33749999997,0.0
2025-11-05,NO1,CABIN,1491450.637,62143.77654166667,0.0
2025-11-05,NO1,HOUSEHOLD,38572383.3,1607182.6375,0.0
2025-11-05,NO1,PRIMARY,1060673.949,44194.747875,0.0
2025-11-05,NO1,SECONDARY,16547928.4,689497.0166666667,0.0
2025-11-05,NO1,TERTIARY,28529110.8,1188712.95,0.0
2025-11-05,NO2,CABIN,1121512.893,46729.703875,0.0
2025-11-05,NO2,HOUSEHOLD,22698222.64,945759.2766666667,0.0
2025-11-05,NO2,PRIMARY,1973186.8969999999,82216.12070833333,0.0
2025-11-05,NO2,SECONDARY,54203155.2,2258464.8000000003,0.0
2025-11-05,NO2,TERTIARY,14669989.52,611249.5633333334,0.0
2025-11-05,NO3,CABIN,866295.58,36095.64916666666,0.0
2025-11-05,NO3,HOUSEHOLD,16293417.69,678892.4037499999,0.0
2025-11-05,NO3,PRIMARY,2243032.337,93459.68070833333,0.0
2025-11-05,NO3,SECONDARY,45265744.0,1886072.6666666667,0.0
2025-11-05,NO3,TERTIARY,15418728.56,642447.0233333333,0.0
2025-11-05,NO4,CABIN,943214.003,39300.583458333334,0.0
2025-11-05,NO4,HOUSEHOLD,12637317.14,526554.8808333334,0.0
2025-11-05,NO4,PRIMARY,1497982.043,62415.91845833333,0.0
2025-11-05,NO4,SECONDARY,28352023.4,1181334.3083333333,0.0
2025-11-05,NO4,TERTIARY,11078317.91,461596.57958333334,0.0
2025-11-05,NO5,CABIN,753707.52,31404.48,0.0
2025-11-05,NO5,HOUSEHOLD,9283604.76,386816.865,0.0
2025-11-05,NO5,PRIMARY,330057.196,13752.383166666667,0.0
2025-11-05,NO5,SECONDARY,27129341.9,1130389.2458333333,0.0
2025-11-05,NO5,TERTIARY,6827483.41,284478.47541666665,0.0
2025-11-06,NO1,CABIN,1612113.151,67171.38129166666,0.0
2025-11-06,NO1,HOUSEHOLD,38574213.0,1607258.875,0.0
2025-11-06,NO1,PRIMARY,1065928.441,44413.68504166667,0.0
2025-11-06,NO1,SECONDARY,17462090.22,727587.0924999999,0.0
2025-11-06,NO1,TERTIARY,28694107.45,1195587.8104166666,0.0
2025-11-06,NO2,CABIN,1183897.86,49329.07750000001,0.0
2025-11-06,NO2,HOUSEHOLD,22291594.37,928816.4320833334,0.0
2025-11-06,NO2,PRIMARY,1963796.661,81824.860875,0.0
2025-11-06,NO2,SECONDARY,53487381.0,2228640.875,0.0
2025-11-06,NO2,TERTIARY,14507221.459999999,604467.5608333333,0.0
